scenario,listing_id,rank,eligible,total_score
weight_application_minus_25pct,SYN-003,2,true,8.8917
weight_application_minus_25pct,SYN-002,3,true,8.5123
weight_application_minus_25pct,SYN-008,4,true,8.5035
weight_application_minus_25pct,SYN-006,5,true,8.2621
weight_application_minus_25pct,SYN-004,6,true,8.1245
weight_application_minus_25pct,SYN-001,7,true,8.0255
weight_application_minus_25pct,SYN-007,8,true,7.6416
weight_application_minus_25pct,SYN-012,9,false,8.3675
weight_application_minus_25pct,SYN-005,10,false,8.0969
weight_application_minus_25pct,SYN-013,11,false,7.8244
weight_application_minus_25pct,SYN-010,12,false,7.6245
weight_application_minus_25pct,SYN-009,13,false,7.4567
weight_application_minus_25pct,SYN-011,14,false,7.4531
weight_application_plus_25pct,SYN-014,1,true,8.9365
weight_application_plus_25pct,SYN-003,2,true,8.8541
weight_application_plus_25pct,SYN-002,3,true,8.5291
weight_application_plus_25pct,SYN-008,4,true,8.4862
weight_application_plus_25pct,SYN-006,5,true,8.2187
weight_application_plus_25pct,SYN-004,6,true,8.103
weight_application_plus_25pct,SYN-001,7,true,8.0418
weight_application_plus_25pct,SYN-007,8,true,7.6952
weight_application_plus_25pct,SYN-012,9,false,8.3514
weight_application_plus_25pct,SYN-005,10,false,8.1211
weight_application_plus_25pct,SYN-013,11,false,7.8373
weight_application_plus_25pct,SYN-010,12,false,7.6237
weight_application_plus_25pct,SYN-009,13,false,7.496
weight_application_plus_25pct,SYN-011,14,false,7.4754
weight_commute_minus_25pct,SYN-014,1,true,8.8848
weight_commute_minus_25pct,SYN-003,2,true,8.8287
weight_commute_minus_25pct,SYN-002,3,true,8.5375
weight_commute_minus_25pct,SYN-008,4,true,8.4917
weight_commute_minus_25pct,SYN-006,5,true,8.357
weight_commute_minus_25pct,SYN-004,6,true,8.1885
weight_commute_minus_25pct,SYN-001,7,true,7.9572
weight_commute_minus_25pct,SYN-007,8,true,7.578
weight_commute_minus_25pct,SYN-012,9,false,8.3882
weight_commute_minus_25pct,SYN-005,10,false,8.0726
weight_commute_minus_25pct,SYN-013,11,false,7.765
weight_commute_minus_25pct,SYN-010,12,false,7.7597
weight_commute_minus_25pct,SYN-011,13,false,7.4955
weight_commute_minus_25pct,SYN-009,14,false,7.3784
weight_commute_plus_25pct,SYN-014,1,true,8.9655
weight_commute_plus_25pct,SYN-003,2,true,8.9133
weight_commute_plus_25pct,SYN-002,3,true,8.5055
weight_commute_plus_25pct,SYN-008,4,true,8.4975
weight_commute_plus_25pct,SYN-006,5,true,8.1315
weight_commute_plus_25pct,SYN-001,6,true,8.1048
weight_commute_plus_25pct,SYN-004,7,true,8.0441
weight_commute_plus_25pct,SYN-007,8,true,7.7531
weight_commute_plus_25pct,SYN-012,9,false,8.3326
weight_commute_plus_25pct,SYN-005,10,false,8.1431
weight_commute_plus_25pct,SYN-013,11,false,7.8921
weight_commute_plus_25pct,SYN-009,12,false,7.5679
weight_commute_plus_25pct,SYN-010,13,false,7.4983
weight_commute_plus_25pct,SYN-011,14,false,7.4356
weight_completeness_minus_25pct,SYN-014,1,true,8.9213
weight_completeness_minus_25pct,SYN-003,2,true,8.8669
weight_completeness_minus_25pct,SYN-002,3,true,8.5134
weight_completeness_minus_25pct,SYN-008,4,true,8.4872
weight_completeness_minus_25pct,SYN-006,5,true,8.2312
weight_completeness_minus_25pct,SYN-004,6,true,8.1041
weight_completeness_minus_25pct,SYN-001,7,true,8.0239
weight_completeness_minus_25pct,SYN-007,8,true,7.6571
weight_completeness_minus_25pct,SYN-012,9,false,8.3511
weight_completeness_minus_25pct,SYN-005,10,false,8.0997
weight_completeness_minus_25pct,SYN-013,11,false,7.82
weight_completeness_minus_25pct,SYN-010,12,false,7.6122
weight_completeness_minus_25pct,SYN-009,13,false,7.464
weight_completeness_minus_25pct,SYN-011,14,false,7.4517
weight_completeness_plus_25pct,SYN-014,1,true,8.932
weight_completeness_plus_25pct,SYN-003,2,true,8.8782
weight_completeness_plus_25pct,SYN-002,3,true,8.5282
weight_completeness_plus_25pct,SYN-008,4,true,8.5022
weight_completeness_plus_25pct,SYN-006,5,true,8.2488
weight_completeness_plus_25pct,SYN-004,6,true,8.123
weight_completeness_plus_25pct,SYN-001,7,true,8.0436
weight_completeness_plus_25pct,SYN-007,8,true,7.6804
weight_completeness_plus_25pct,SYN-012,9,false,8.3675
weight_completeness_plus_25pct,SYN-005,10,false,8.1186
weight_completeness_plus_25pct,SYN-013,11,false,7.8417
weight_completeness_plus_25pct,SYN-010,12,false,7.6359
weight_completeness_plus_25pct,SYN-009,13,false,7.4892
weight_completeness_plus_25pct,SYN-011,14,false,7.4771
weight_convenience_minus_25pct,SYN-014,1,true,8.9204
weight_convenience_minus_25pct,SYN-003,2,true,8.8743
weight_convenience_minus_25pct,SYN-002,3,true,8.5214
weight_convenience_minus_25pct,SYN-008,4,true,8.5061
weight_convenience_minus_25pct,SYN-006,5,true,8.2686
weight_convenience_minus_25pct,SYN-004,6,true,8.1346
weight_convenience_minus_25pct,SYN-001,7,true,8.0115
weight_convenience_minus_25pct,SYN-007,8,true,7.6267
weight_convenience_minus_25pct,SYN-012,9,false,8.3722
weight_convenience_minus_25pct,SYN-005,10,false,8.0864
weight_convenience_minus_25pct,SYN-013,11,false,7.8247
weight_convenience_minus_25pct,SYN-010,12,false,7.6431
weight_convenience_minus_25pct,SYN-011,13,false,7.4475
weight_convenience_minus_25pct,SYN-009,14,false,7.4324
weight_convenience_plus_25pct,SYN-014,1,true,8.9327
weight_convenience_plus_25pct,SYN-003,2,true,8.871
weight_convenience_plus_25pct,SYN-002,3,true,8.5204
weight_convenience_plus_25pct,SYN-008,4,true,8.4838
weight_convenience_plus_25pct,SYN-006,5,true,8.2128
weight_convenience_plus_25pct,SYN-004,6,true,8.0935
weight_convenience_plus_25pct,SYN-001,7,true,8.055
weight_convenience_plus_25pct,SYN-007,8,true,7.7091
weight_convenience_plus_25pct,SYN-012,9,false,8.347
weight_convenience_plus_25pct,SYN-005,10,false,8.131
weight_convenience_plus_25pct,SYN-013,11,false,7.8369
weight_convenience_plus_25pct,SYN-010,12,false,7.606
weight_convenience_plus_25pct,SYN-009,13,false,7.519
weight_convenience_plus_25pct,SYN-011,14,false,7.4806
weight_freshness_minus_25pct,SYN-014,1,true,8.9186
weight_freshness_minus_25pct,SYN-003,2,true,8.8641
weight_freshness_minus_25pct,SYN-002,3,true,8.5097
weight_freshness_minus_25pct,SYN-008,4,true,8.4833
weight_freshness_minus_25pct,SYN-006,5,true,8.2267
weight_freshness_minus_25pct,SYN-004,6,true,8.0993
weight_freshness_minus_25pct,SYN-001,7,true,8.0189
weight_freshness_minus_25pct,SYN-007,8,true,7.6512
weight_freshness_minus_25pct,SYN-012,9,false,8.3993
weight_freshness_minus_25pct,SYN-005,10,false,8.0949
weight_freshness_minus_25pct,SYN-013,11,false,7.8145
weight_freshness_minus_25pct,SYN-010,12,false,7.6061
weight_freshness_minus_25pct,SYN-009,13,false,7.4576
weight_freshness_minus_25pct,SYN-011,14,false,7.4453
weight_freshness_plus_25pct,SYN-014,1,true,8.9347
weight_freshness_plus_25pct,SYN-003,2,true,8.881
weight_freshness_plus_25pct,SYN-002,3,true,8.5319
weight_freshness_plus_25pct,SYN-008,4,true,8.5059
weight_freshness_plus_25pct,SYN-006,5,true,8.2531
weight_freshness_plus_25pct,SYN-004,6,true,8.1276
weight_freshness_plus_25pct,SYN-001,7,true,8.0484
weight_freshness_plus_25pct,SYN-007,8,true,7.6862
weight_freshness_plus_25pct,SYN-012,9,false,8.3199
weight_freshness_plus_25pct,SYN-005,10,false,8.1233
weight_freshness_plus_25pct,SYN-013,11,false,7.8471
weight_freshness_plus_25pct,SYN-010,12,false,7.6418
weight_freshness_plus_25pct,SYN-009,13,false,7.4955
weight_freshness_plus_25pct,SYN-011,14,false,7.4833
weight_management_minus_25pct,SYN-014,1,true,8.9479
weight_management_minus_25pct,SYN-003,2,true,8.8873
weight_management_minus_25pct,SYN-008,3,true,8.533
weight_management_minus_25pct,SYN-002,4,true,8.5189
weight_management_minus_25pct,SYN-006,5,true,8.2411
weight_management_minus_25pct,SYN-004,6,true,8.1165
weight_management_minus_25pct,SYN-001,7,true,8.0039
weight_management_minus_25pct,SYN-007,8,true,7.6398
weight_management_minus_25pct,SYN-012,9,false,8.3506
weight_management_minus_25pct,SYN-005,10,false,8.1171
weight_management_minus_25pct,SYN-013,11,false,7.8343
weight_management_minus_25pct,SYN-010,12,false,7.6324
weight_management_minus_25pct,SYN-011,13,false,7.4481
weight_management_minus_25pct,SYN-009,14,false,7.4274
weight_management_plus_25pct,SYN-014,1,true,8.9065
weight_management_plus_25pct,SYN-003,2,true,8.8586
weight_management_plus_25pct,SYN-002,3,true,8.5228
weight_management_plus_25pct,SYN-008,4,true,8.4583
weight_management_plus_25pct,SYN-006,5,true,8.2391
weight_management_plus_25pct,SYN-004,6,true,8.1108
weight_management_plus_25pct,SYN-001,7,true,8.0622
weight_management_plus_25pct,SYN-007,8,true,7.6964
weight_management_plus_25pct,SYN-012,9,false,8.3676
weight_management_plus_25pct,SYN-005,10,false,8.1016
weight_management_plus_25pct,SYN-013,11,false,7.8277
weight_management_plus_25pct,SYN-010,12,false,7.6162
weight_management_plus_25pct,SYN-009,13,false,7.5236
weight_management_plus_25pct,SYN-011,14,false,7.4799
weight_quiet_minus_25pct,SYN-014,1,true,8.9786
weight_quiet_minus_25pct,SYN-003,2,true,8.9001
weight_quiet_minus_25pct,SYN-008,3,true,8.5202
weight_quiet_minus_25pct,SYN-002,4,true,8.5137
weight_quiet_minus_25pct,SYN-006,5,true,8.218
weight_quiet_minus_25pct,SYN-004,6,true,8.0806
weight_quiet_minus_25pct,SYN-001,7,true,8.0449
weight_quiet_minus_25pct,SYN-007,8,true,7.6988
weight_quiet_minus_25pct,SYN-012,9,false,8.3455
weight_quiet_minus_25pct,SYN-005,10,false,8.1684
weight_quiet_minus_25pct,SYN-013,11,false,7.824
weight_quiet_minus_25pct,SYN-010,12,false,7.6093
weight_quiet_minus_25pct,SYN-009,13,false,7.494
weight_quiet_minus_25pct,SYN-011,14,false,7.4507
weight_quiet_plus_25pct,SYN-014,1,true,8.8772
weight_quiet_plus_25pct,SYN-003,2,true,8.8464
weight_quiet_plus_25pct,SYN-002,3,true,8.5277
weight_quiet_plus_25pct,SYN-008,4,true,8.4705
weight_quiet_plus_25pct,SYN-006,5,true,8.261
weight_quiet_plus_25pct,SYN-004,6,true,8.1449
weight_quiet_plus_25pct,SYN-001,7,true,8.0232
weight_quiet_plus_25pct,SYN-007,8,true,7.6403
weight_quiet_plus_25pct,SYN-012,9,false,8.3725
weight_quiet_plus_25pct,SYN-005,10,false,8.0529
weight_quiet_plus_25pct,SYN-013,11,false,7.8375
weight_quiet_plus_25pct,SYN-010,12,false,7.6381
weight_quiet_plus_25pct,SYN-011,13,false,7.4775
weight_quiet_plus_25pct,SYN-009,14,false,7.4602
weight_safety_minus_25pct,SYN-014,1,true,8.9722
weight_safety_minus_25pct,SYN-003,2,true,8.8891
weight_safety_minus_25pct,SYN-002,3,true,8.5129
weight_safety_minus_25pct,SYN-008,4,true,8.5034
weight_safety_minus_25pct,SYN-006,5,true,8.2152
weight_safety_minus_25pct,SYN-004,6,true,8.0653
weight_safety_minus_25pct,SYN-001,7,true,7.9909
weight_safety_minus_25pct,SYN-007,8,true,7.6497
weight_safety_minus_25pct,SYN-012,9,false,8.3309
weight_safety_minus_25pct,SYN-005,10,false,8.1407
weight_safety_minus_25pct,SYN-013,11,false,7.8234
weight_safety_minus_25pct,SYN-010,12,false,7.6163
weight_safety_minus_25pct,SYN-011,13,false,7.5072
weight_safety_minus_25pct,SYN-009,14,false,7.4268
weight_safety_plus_25pct,SYN-014,1,true,8.8848
weight_safety_plus_25pct,SYN-003,2,true,8.8574
weight_safety_plus_25pct,SYN-002,3,true,8.5282
weight_safety_plus_25pct,SYN-008,4,true,8.4868
weight_safety_plus_25pct,SYN-006,5,true,8.2629
weight_safety_plus_25pct,SYN-004,6,true,8.1579
weight_safety_plus_25pct,SYN-001,7,true,8.0732
weight_safety_plus_25pct,SYN-007,8,true,7.6864
weight_safety_plus_25pct,SYN-012,9,false,8.3854
weight_safety_plus_25pct,SYN-005,10,false,8.0803
weight_safety_plus_25pct,SYN-013,11,false,7.8378
weight_safety_plus_25pct,SYN-010,12,false,7.6313
weight_safety_plus_25pct,SYN-009,13,false,7.5225
weight_safety_plus_25pct,SYN-011,14,false,7.4251
weight_space_minus_25pct,SYN-014,1,true,8.9347
weight_space_minus_25pct,SYN-003,2,true,8.8722
weight_space_minus_25pct,SYN-002,3,true,8.5562
weight_space_minus_25pct,SYN-008,4,true,8.5053
weight_space_minus_25pct,SYN-006,5,true,8.2285
weight_space_minus_25pct,SYN-004,6,true,8.1123
weight_space_minus_25pct,SYN-001,7,true,8.0343
weight_space_minus_25pct,SYN-007,8,true,7.6973
weight_space_minus_25pct,SYN-012,9,false,8.3541
weight_space_minus_25pct,SYN-005,10,false,8.1413
weight_space_minus_25pct,SYN-013,11,false,7.8466
weight_space_minus_25pct,SYN-010,12,false,7.6397
weight_space_minus_25pct,SYN-009,13,false,7.4763
weight_space_minus_25pct,SYN-011,14,false,7.4654
weight_space_plus_25pct,SYN-014,1,true,8.9189
weight_space_plus_25pct,SYN-003,2,true,8.873
weight_space_plus_25pct,SYN-002,3,true,8.4866
weight_space_plus_25pct,SYN-008,4,true,8.4844
weight_space_plus_25pct,SYN-006,5,true,8.2513
weight_space_plus_25pct,SYN-004,6,true,8.1148
weight_space_plus_25pct,SYN-001,7,true,8.0333
weight_space_plus_25pct,SYN-007,8,true,7.6412
weight_space_plus_25pct,SYN-012,9,false,8.3644
weight_space_plus_25pct,SYN-005,10,false,8.078
weight_space_plus_25pct,SYN-013,11,false,7.8157
weight_space_plus_25pct,SYN-010,12,false,7.609
weight_space_plus_25pct,SYN-009,13,false,7.477
weight_space_plus_25pct,SYN-011,14,false,7.4635
weight_timing_minus_25pct,SYN-014,1,true,8.9165
weight_timing_minus_25pct,SYN-003,2,true,8.8885
weight_timing_minus_25pct,SYN-002,3,true,8.5064
weight_timing_minus_25pct,SYN-008,4,true,8.4757
weight_timing_minus_25pct,SYN-006,5,true,8.2258
weight_timing_minus_25pct,SYN-004,6,true,8.0897
weight_timing_minus_25pct,SYN-001,7,true,8.0097
weight_timing_minus_25pct,SYN-007,8,true,7.7358
weight_timing_minus_25pct,SYN-012,9,false,8.3386
weight_timing_minus_25pct,SYN-005,10,false,8.0874
weight_timing_minus_25pct,SYN-013,11,false,7.9301
weight_timing_minus_25pct,SYN-010,12,false,7.5974
weight_timing_minus_25pct,SYN-009,13,false,7.4456
weight_timing_minus_25pct,SYN-011,14,false,7.4328
weight_timing_plus_25pct,SYN-014,1,true,8.9366
weight_timing_plus_25pct,SYN-003,2,true,8.8571
weight_timing_plus_25pct,SYN-002,3,true,8.535
weight_timing_plus_25pct,SYN-008,4,true,8.5133
weight_timing_plus_25pct,SYN-006,5,true,8.254
weight_timing_plus_25pct,SYN-004,6,true,8.1369
weight_timing_plus_25pct,SYN-001,7,true,8.0572
weight_timing_plus_25pct,SYN-007,8,true,7.6036
weight_timing_plus_25pct,SYN-012,9,false,8.3796
weight_timing_plus_25pct,SYN-005,10,false,8.1305
weight_timing_plus_25pct,SYN-013,11,false,7.7343
weight_timing_plus_25pct,SYN-010,12,false,7.6501
weight_timing_plus_25pct,SYN-009,13,false,7.507
weight_timing_plus_25pct,SYN-011,14,false,7.4953
