listing_id,name,criterion,component_score,normalized_weight,weighted_contribution
SYN-007,University Edge,space,5.8,0.06,0.348
SYN-007,University Edge,application,9.2,0.07,0.644
SYN-007,University Edge,timing,2.381,0.05,0.119
SYN-007,University Edge,freshness,10.0,0.03,0.3
SYN-007,University Edge,completeness,10.0,0.02,0.2
SYN-012,Elm Commons,affordability,8.4842,0.16,1.3575
SYN-012,Elm Commons,safety,9.0,0.17,1.53
SYN-012,Elm Commons,commute,7.619,0.15,1.1429
SYN-012,Elm Commons,convenience,7.8,0.09,0.702
SYN-012,Elm Commons,management,8.7,0.1,0.87
SYN-012,Elm Commons,quiet,8.9,0.1,0.89
SYN-012,Elm Commons,space,8.7,0.06,0.522
SYN-012,Elm Commons,application,7.9,0.07,0.553
SYN-012,Elm Commons,timing,10.0,0.05,0.5
SYN-012,Elm Commons,freshness,3.0667,0.03,0.092
SYN-012,Elm Commons,completeness,10.0,0.02,0.2
SYN-005,Parkline Lofts,affordability,8.4211,0.16,1.3474
SYN-005,Parkline Lofts,safety,7.4,0.17,1.258
SYN-005,Parkline Lofts,commute,9.0476,0.15,1.3571
SYN-005,Parkline Lofts,convenience,9.1,0.09,0.819
SYN-005,Parkline Lofts,management,7.8,0.1,0.78
SYN-005,Parkline Lofts,quiet,5.8,0.1,0.58
SYN-005,Parkline Lofts,space,6.0,0.06,0.36
SYN-005,Parkline Lofts,application,8.8,0.07,0.616
SYN-005,Parkline Lofts,timing,9.8333,0.05,0.4917
SYN-005,Parkline Lofts,freshness,10.0,0.03,0.3
SYN-005,Parkline Lofts,completeness,10.0,0.02,0.2
SYN-013,Northgate Residences,affordability,7.8211,0.16,1.2514
SYN-013,Northgate Residences,safety,8.0,0.17,1.36
SYN-013,Northgate Residences,commute,9.5238,0.15,1.4286
SYN-013,Northgate Residences,convenience,8.1,0.09,0.729
SYN-013,Northgate Residences,management,7.7,0.1,0.77
SYN-013,Northgate Residences,quiet,8.1,0.1,0.81
SYN-013,Northgate Residences,space,6.8,0.06,0.408
SYN-013,Northgate Residences,application,8.2,0.07,0.574
SYN-013,Northgate Residences,timing,0.0,0.05,0.0
SYN-013,Northgate Residences,freshness,10.0,0.03,0.3
SYN-013,Northgate Residences,completeness,10.0,0.02,0.2
SYN-010,Franklin Place,affordability,10.0,0.16,1.6
SYN-010,Franklin Place,safety,7.8,0.17,1.326
SYN-010,Franklin Place,commute,4.1429,0.15,0.6214
SYN-010,Franklin Place,convenience,6.8,0.09,0.612
SYN-010,Franklin Place,management,7.3,0.1,0.73
SYN-010,Franklin Place,quiet,8.2,0.1,0.82
SYN-010,Franklin Place,space,6.6,0.06,0.396
SYN-010,Franklin Place,application,7.6,0.07,0.532
SYN-010,Franklin Place,timing,9.7333,0.05,0.4867
SYN-010,Franklin Place,freshness,10.0,0.03,0.3
SYN-010,Franklin Place,completeness,10.0,0.02,0.2
SYN-009,MetroView,affordability,0.0,0.16,0.0
SYN-009,MetroView,safety,8.6,0.17,1.462
SYN-009,MetroView,commute,10.0,0.15,1.5
SYN-009,MetroView,convenience,9.4,0.09,0.846
SYN-009,MetroView,management,9.4,0.1,0.94
SYN-009,MetroView,quiet,6.8,0.1,0.68
SYN-009,MetroView,space,7.5,0.06,0.45
SYN-009,MetroView,application,8.6,0.07,0.602
SYN-009,MetroView,timing,9.9333,0.05,0.4967
SYN-009,MetroView,freshness,10.0,0.03,0.3
SYN-009,MetroView,completeness,10.0,0.02,0.2
SYN-011,Summit House,affordability,6.2632,0.16,1.0021
SYN-011,Summit House,safety,6.5,0.17,1.105
SYN-011,Summit House,commute,6.6667,0.15,1.0
SYN-011,Summit House,convenience,8.2,0.09,0.738
SYN-011,Summit House,management,8.1,0.1,0.81
SYN-011,Summit House,quiet,8.0,0.1,0.8
SYN-011,Summit House,space,7.4,0.06,0.444
SYN-011,Summit House,application,8.1,0.07,0.567
SYN-011,Summit House,timing,9.9667,0.05,0.4983
SYN-011,Summit House,freshness,10.0,0.03,0.3
SYN-011,Summit House,completeness,10.0,0.02,0.2
